"POS" "blst_amount.A" "blst_amount.B"
"19210216" "2" "1"
"19210239" "2" "1"
"19210363" "2" "1"
"19210438" "2" "1"
"19210656" "7" "3"
"19211197" "7" "6"
"19211221" "7" "6"
"19211247" "7" "6"
"19211253" "2" "3"
"19211264" "2" "3"
"19211352" "1" "2"
"19211355" "1" "2"
"19211436" "1" "2"
"19211489" "1" "2"
"19211691" "1" "2"
"19211733" "1" "1"
"19211778" "1" "1"
"19211779" "1" "1"
"19211886" "1" "1"
"19211887" "1" "1"
"19212409" "1" "1"
"19212459" "1" "1"
"19212531" "1" "1"
"19212768" "1" "1"
"19212799" "1" "1"
"19212802" "1" "1"
"19216934" "1" "1"
"19217634" "1" "1"
"19217994" "1" "1"
"19218136" "1" "1"
"19218208" "1" "1"
"19218246" "1" "1"
"19218275" "1" "1"
"19218277" "1" "1"
"19218332" "1" "1"
"19218337" "1" "1"
"19218448" "1" "4"
"19219116" "1" "1"
"19219117" "1" "1"
"19219133" "1" "1"
"19219336" "1" "1"
"19219467" "1" "1"
"19219485" "1" "1"
"19219497" "1" "1"
"19219544" "1" "1"
"19219562" "1" "1"
"19219724" "1" "2"
"19219865" "2" "2"
"19220444" "1" "3"
"19220456" "1" "3"
"19220703" "1" "1"
"19220780" "1" "2"
"19221136" "1" "2"
"19221297" "2" "2"
"19222479" "5" "4"
"19225321" "14" "16"
"19225352" "13" "16"
"19225502" "13" "17"
"19225519" "13" "17"
"19225535" "13" "17"
"19225568" "13" "17"
"19225685" "12" "13"
"19225729" "9" "8"
"19225765" "9" "8"
"19225849" "9" "8"
"19226647" "18" "21"
"19226661" "18" "21"
"19226878" "14" "17"
"19227119" "11" "16"
"19228774" "8" "5"
"19230354" "5" "2"
"19231573" "5" "2"
"19231598" "5" "2"
"19231834" "4" "2"
"19232007" "5" "2"
"19233042" "5" "2"
"19233143" "5" "2"
"19233548" "4" "3"
"19233575" "4" "3"
"19233656" "4" "3"
"19233666" "4" "3"
"19233755" "6" "3"
"19233812" "6" "3"
"19233824" "6" "2"
"19233936" "4" "2"
"19235329" "4" "2"
"19235383" "4" "2"
"19235466" "4" "2"
"19235617" "4" "2"
"19235748" "3" "1"
"19235757" "3" "1"
"19235783" "3" "1"
"19235822" "3" "1"
"19236650" "4" NA
"19237605" "14" NA
"19237660" "15" NA
"19239506" "5" "1"
"19240815" "2" NA
"19240819" "2" NA
"19240868" "3" NA
"19241140" "3" NA
"19241160" "3" NA
"19241282" "2" NA
"19241386" "2" NA
"19241506" "2" NA
"19241516" "2" NA
"19241888" "2" NA
"19242092" "5" "2"
"19242262" "6" "4"
"19242555" "7" "8"
"19242661" "8" "8"
"19243848" "12" "14"
"19243954" "12" "12"
"19243979" "14" "17"
"19244435" "15" "19"
"19244771" "12" "19"
"19245054" "10" "16"
"19245424" "4" "7"
"19245450" "4" "8"
"19245604" "5" "8"
"19245694" "6" "6"
"19247022" "10" "18"
"19247145" "43" "49"
"19250549" "8" "10"
"19252678" "13" "16"
"19252879" "9" "9"
"19253148" "16" "14"
"19253464" "26" "25"
"19254303" "8" "12"
"19254546" "10" "13"
"19254605" "10" "13"
"19254781" "9" "4"
"19254812" "9" "4"
"19255079" "9" "8"
"19255227" "7" "8"
"19255278" "7" "8"
"19255893" "8" "4"
"19255912" "8" "5"
"19256088" "13" "9"
"19256475" "9" "9"
"19260101" "19" "30"
"19260138" "15" "26"
"19260180" "13" "24"
"19260227" "10" "17"
"19260281" "1" "1"
"19260297" "1" "1"
"19260305" "1" "1"
"19260317" "1" "1"
"19260336" "2" "1"
"19260367" "8" "12"
"19260369" "8" "12"
"19260382" "13" "16"
"19260448" "45" "55"
"19260488" "55" "74"
"19260509" "60" "80"
"19260540" "82" "102"
"19260544" "83" "105"
"19260990" "286" "287"
"19262908" "5" "2"
"19263116" "4" "2"
"19263232" "4" "2"
"19263282" "4" "2"
"19263414" "4" "2"
"19263442" "4" "2"
"19268479" "4" "2"
"19268756" "5" "3"
"19268810" "7" "3"
"19269313" "7" "3"
"19269371" "3" "1"
"19269373" "3" "1"
"19269513" "3" "1"
"19269920" "2" "1"
"19269962" "2" "1"
"19270130" "1" "1"
"19270254" "1" "2"
"19270311" "1" "2"
"19270312" "1" "2"
"19270325" "1" "2"
"19270380" "1" "2"
"19270385" "1" "2"
"19270493" "3" "1"
"19270527" "3" "1"
"19270571" "3" "1"
"19270592" "3" "1"
"19270665" "3" "1"
"19270908" "4" "1"
"19270949" "4" "1"
"19270955" "4" "1"
"19270978" "4" "1"
"19271020" "3" "1"
"19271024" "3" "1"
"19271035" "3" "1"
"19271041" "3" "1"
"19271107" "4" "1"
"19271128" "3" "1"
"19271135" "3" "1"
"19271246" "3" "1"
"19271295" "2" "1"
"19271380" "3" "3"
"19271451" "4" "4"
"19271514" "4" "5"
"19271605" "4" "6"
"19271684" "5" "7"
"19271943" "5" "7"
"19271976" "5" "6"
"19271993" "5" "6"
"19272281" "4" "1"
"19272316" "5" "2"
"19272489" "5" "2"
"19272565" "5" "2"
"19272577" "5" "2"
"19272726" "4" "1"
"19272730" "4" "1"
"19272731" "4" "1"
"19272937" "4" "1"
"19273041" "4" "1"
"19273138" "2" "1"
"19273180" "2" "1"
"19273303" "2" "1"
"19273508" "4" "1"
"19273521" "4" "1"
"19273658" "4" "1"
"19273868" "4" "1"
"19273940" "4" "1"
"19273985" "2" "1"
"19274078" "2" "1"
"19274285" "2" "1"
"19274366" "2" "1"
"19274415" "2" "1"
"19274556" "2" "1"
"19274632" "2" "1"
"19274657" "2" "1"
"19274728" "2" "1"
"19274799" "2" "1"
"19275057" "2" "1"
"19275247" "2" NA
"19275605" "8" "6"
"19275707" "8" "6"
"19275715" "8" "6"
"19275848" "7" "6"
"19275939" "3" NA
"19276040" "3" NA
"19276466" "7" "2"
"19276672" "6" "7"
"19277589" "31" "20"
"19278288" "2" NA
"19278401" "2" NA
"19278618" "2" "0"
"19278629" "2" "0"
"19278645" "2" "0"
"19278863" "2" "0"
"19278926" "3" "0"
"19279025" "3" NA
"19279193" "2" NA
"19279618" "5" "2"
"19279699" "5" "3"
"19279799" "4" "3"
"19280029" "3" "1"
"19280681" "8" "6"
"19280942" "4" "4"
"19281333" "4" NA
"19282232" "3" NA
"19282728" "2" NA
"19283151" "2" NA
"19283365" "2" NA
"19283507" "2" NA
"19284069" "1" "3"
"19284159" "1" "2"
"19284210" "2" "2"
"19284281" "2" "2"
"19284532" "2" "2"
"19284537" "2" "2"
"19284538" "2" "2"
"19284563" "2" "2"
"19285044" "2" "2"
"19285566" "2" "1"
"19285676" "2" "1"
"19285899" "2" "2"
"19286757" "5" "4"
"19287765" "6" "4"
"19288319" "5" "2"
"19288365" "5" "3"
"19288482" "5" "3"
"19288495" "7" "3"
"19288963" "9" "10"
"19288969" "9" "10"
"19289120" "5" "12"
"19289134" "5" "12"
"19289204" "6" "14"
"19289338" "6" "11"
"19289873" "7" "6"
"19289987" "5" "5"
"19290246" "4" "3"
"19290343" "8" "7"
"19290708" "10" "14"
"19290893" "15" "18"
"19290929" "14" "17"
"19291303" "13" "18"
"19291370" "13" "17"
"19291373" "13" "17"
"19291478" "14" "15"
"19291633" "14" "14"
"19291679" "14" "13"
"19291819" "15" "16"
"19291828" "15" "16"
"19291894" "15" "16"
"19291952" "15" "14"
"19292312" "7" "11"
"19292324" "7" "11"
"19292394" "8" "13"
"19292431" "7" "12"
"19292876" "9" "10"
"19292999" "6" "10"
"19293166" "8" "14"
"19293358" "8" "16"
"19293363" "8" "14"
"19293409" "12" "18"
"19293410" "12" "18"
"19293425" "12" "20"
"19293785" "15" "16"
"19293979" "13" "17"
"19294054" "14" "18"
"19294063" "14" "18"
"19294069" "15" "18"
"19294070" "16" "18"
"19294162" "14" "15"
"19294172" "14" "15"
"19294999" "11" "12"
"19295961" "10" "10"
"19296457" "14" "14"
"19299650" "40" "46"
"19299666" "40" "46"
"19299761" "41" "46"
"19299858" "40" "46"
"19318624" "1" "0"
"19320714" "10" "9"
"19330601" "7" "2"
"19330811" "5" "5"
"19331098" "5" "5"
"19331114" "5" "5"
"19331136" "5" "5"
"19331486" "2" "2"
"19331506" "2" "2"
"19331523" "2" "2"
"19331548" "1" "2"
"19331979" "2" "3"
"19332006" "2" "3"
"19332149" "2" "3"
"19332171" "2" "3"
"19332244" "2" "3"
"19332426" "2" "3"
"19332484" "2" "3"
"19332522" "2" "3"
"19332621" "2" "3"
"19332712" "2" "3"
"19333100" "2" "3"
"19333198" "2" "4"
"19333708" "4" "5"
"19333999" "6" "6"
"19334012" "6" "6"
"19334090" "6" "6"
"19334187" "5" "6"
"19334209" "4" "5"
"19334216" "4" "5"
"19334260" "4" "5"
"19334291" "4" "5"
"19334593" "2" "4"
"19334650" "5" "5"
"19334677" "5" "5"
"19334693" "5" "5"
"19334829" "6" "6"
"19335070" "9" "6"
"19335079" "10" "6"
"19335166" "7" "5"
"19335337" "6" "4"
"19335352" "6" "6"
"19335396" "6" "6"
"19335439" "6" "6"
"19335449" "4" "6"
"19336100" "2" "4"
"19336149" "2" "4"
"19336316" "2" "4"
"19336436" "2" "4"
"19336605" "2" "2"
"19336685" "2" "4"
"19336736" "2" "4"
"19336837" "6" "10"
"19337146" "9" "11"
"19337204" "9" "11"
"19337452" "3" "5"
"19337490" "3" "5"
"19337758" "2" "2"
"19337785" "2" "2"
"19337918" "2" "4"
"19337972" "2" "4"
"19337997" "3" "3"
"19338027" "3" "3"
"19338079" "3" "5"
"19338093" "3" "5"
"19338199" "3" "5"
"19338387" "2" "5"
"19338568" "2" "4"
"19338620" "2" "4"
"19338651" "2" "5"
"19338740" "2" "5"
"19338741" "2" "5"
"19339025" "2" "6"
"19339421" "2" "4"
"19339492" "2" "4"
"19339606" "2" "3"
"19339607" "2" "3"
"19339802" "2" "4"
"19340061" "7" "11"
"19340099" "7" "11"
"19340104" "8" "11"
"19340271" "8" "11"
"19340454" "2" "4"
"19340584" "2" "4"
"19340724" "2" "4"
"19340736" "2" "4"
"19340741" "2" "4"
"19340751" "2" "4"
"19340753" "2" "4"
"19340999" "2" "4"
"19341113" "2" "4"
"19341131" "2" "4"
"19341302" "2" "5"
"19341344" "2" "5"
"19341648" "55" "51"
"19341735" "65" "59"
"19347499" "7" "6"
"19347539" "7" "6"
"19347642" "3" "6"
"19347992" "2" "4"
"19348064" "3" "5"
"19348127" "3" "5"
"19348177" "4" "6"
"19348203" "3" "5"
"19348984" "4" "8"
"19349112" "4" "6"
"19349286" "3" "6"
"19349317" "3" "6"
"19349473" "1" "6"
"19349526" "1" "6"
"19349556" "1" "6"
"19349575" "1" "6"
"19349647" "3" "10"
"19349815" "4" "18"
"19349926" "9" "21"
"19350226" "13" "16"
"19350349" "13" "16"
"19350352" "13" "16"
"19350355" "13" "16"
"19350598" "11" "14"
"19350693" "11" "14"
"19350789" "12" "16"
"19351322" "8" "12"
"19351338" "8" "13"
"19351686" "7" "14"
"19352157" "10" "15"
"19352205" "7" "12"
"19352235" "10" "16"
"19352257" "6" "12"
"19352827" "13" "16"
"19352903" "13" "16"
"19353298" "16" "16"
"19353491" "16" "17"
"19353548" "16" "14"
"19353632" "14" "14"
"19353654" "10" "13"
"19353955" "19" "24"
"19354051" "21" "28"
"19354108" "18" "26"
"19354115" "18" "26"
"19354175" "16" "18"
"19354243" "15" "16"
"19354303" "12" "18"
"19354387" "13" "31"
"19354486" "10" "30"
"19354522" "9" "27"
"19354859" "11" "12"
"19355012" "12" "7"
"19356077" "14" "18"
"19357004" "1" "3"
"19357099" "1" "3"
"19357163" "2" "3"
"19357197" "2" "3"
"19357346" "2" "3"
"19357357" "2" "3"
"19357373" "2" "3"
"19357427" "2" "3"
"19357532" "2" "3"
"19357814" "1" "2"
"19357911" "1" "2"
"19357939" "1" "2"
"19357973" "2" "6"
"19358143" "3" "8"
"19358162" "3" "8"
"19358170" "3" "8"
"19358184" "3" "8"
"19358240" "4" "11"
"19358374" "4" "11"
"19358518" "3" "8"
"19358537" "3" "8"
"19358561" "3" "8"
"19358590" "3" "8"
"19358617" "3" "7"
"19358624" "3" "7"
"19358652" "2" "6"
"19358654" "1" "5"
"19358670" "1" "3"
"19358682" "1" "3"
"19358888" "3" "4"
"19358901" "3" "4"
"19358908" "3" "4"
"19358933" "3" "4"
"19358986" "3" "4"
"19359000" "3" "4"
"19359054" "3" "4"
"19359057" "3" "4"
"19359093" "3" "4"
"19359216" "2" "3"
"19359234" "2" "3"
"19359262" "2" "4"
"19359264" "2" "4"
"19359270" "2" "4"
"19359287" "3" "3"
"19359320" "3" "3"
"19359363" "2" "2"
"19359396" "2" "3"
"19359437" "2" "5"
"19359519" "2" "5"
"19359576" "3" "7"
"19359900" "2" "4"
"19360108" "2" "6"
"19360294" "2" "6"
"19360541" "2" "6"
"19361053" "1" "2"
"19361092" "1" "2"
"19361188" "1" "2"
"19363584" "3" "9"
"19363833" "1" "7"
"19363899" "1" "6"
"19363918" "1" "6"
"19363931" "1" "6"
"19364180" "1" "5"
"19364193" "1" "5"
"19364309" "1" "4"
"19364336" "1" "4"
"19364340" "1" "4"
"19364453" "1" "5"
"19364527" "1" "6"
"19364890" "3" "12"
"19365436" "1" "4"
"19365516" "1" "2"
"19365549" "1" "2"
"19366131" "1" "2"
"19366285" "1" "2"
"19366423" "1" "2"
"19366424" "1" "2"
"19366512" "1" "3"
"19366791" "4" "8"
"19366807" "9" "13"
"19366809" "9" "13"
"19368867" "11" "16"
"19369028" "7" "8"
"19369033" "7" "8"
"19369211" "4" "6"
"19369357" "5" "6"
"19369377" "5" "6"
"19369410" "5" "6"
"19369475" "6" "6"
"19369573" "6" "5"
"19369650" "6" "7"
"19370355" "16" "18"
"19370475" "11" "12"
"19370503" "11" "12"
"19370512" "11" "12"
"19370521" "12" "14"
"19370563" "15" "14"
"19370668" "14" "13"
"19370669" "14" "13"
"19370715" "14" "13"
"19370742" "15" "14"
"19370748" "15" "14"
"19370775" "15" "14"
"19370799" "15" "12"
"19370803" "15" "12"
"19370804" "15" "12"
"19370816" "14" "9"
"19370912" "14" "9"
"19371050" "9" "5"
"19371282" "10" "8"
"19371287" "10" "8"
"19371362" "7" "8"
"19371461" "7" "8"
"19371499" "7" "8"
"19371864" "3" "3"
"19372059" "8" "4"
"19372247" "9" "8"
"19372252" "9" "8"
"19372414" "9" "8"
"19372589" "4" "6"
"19372776" "5" "3"
"19372790" "5" "3"
"19372839" "6" "3"
"19372952" "5" "3"
"19373133" "6" "3"
"19373177" "5" "3"
"19373213" "5" "3"
"19373257" "4" "4"
"19373283" "7" "4"
"19373369" "6" "2"
"19373587" "5" "2"
"19373605" "6" "2"
"19373637" "6" "2"
"19373775" "6" "2"
"19373870" "6" "2"
"19374113" "4" "2"
"19374143" "5" "2"
"19374216" "4" "2"
"19374276" "4" "2"
"19374301" "4" "2"
"19374435" "6" "4"
"19375089" "5" "2"
"19375099" "5" "2"
"19375176" "4" "2"
"19375356" "4" "2"
"19375365" "4" "2"
"19375401" "4" "2"
"19375426" "4" "2"
"19375440" "4" "2"
"19375479" "4" "2"
"19375485" "4" "2"
"19375508" "4" "2"
"19375521" "4" "2"
"19375554" "4" "2"
"19375594" "4" "2"
"19375602" "4" "2"
"19375626" "4" "2"
"19375643" "4" "2"
"19375644" "4" "2"
"19375733" "4" "2"
"19375810" "3" "2"
"19375842" "3" "2"
"19375845" "3" "2"
"19375851" "3" "2"
"19375866" "3" "2"
"19375953" "3" "2"
"19375986" "3" "2"
"19375987" "3" "2"
"19376010" "3" "2"
"19376039" "3" "2"
"19376066" "4" "2"
"19376069" "4" "2"
"19376100" "4" "2"
"19376177" "4" "2"
"19376204" "4" "2"
"19376226" "4" "2"
"19376235" "4" "2"
"19376346" "4" "2"
"19376379" "4" "2"
"19376382" "4" "2"
"19376550" "3" "2"
"19376589" "3" "2"
"19376643" "3" "2"
"19376719" "4" "2"
"19376720" "4" "2"
"19376741" "4" "2"
"19376747" "4" "2"
"19376790" "3" "1"
"19376825" "5" "2"
"19376854" "5" "2"
"19376961" "5" "2"
"19376975" "5" "2"
"19376994" "5" "2"
"19377027" "5" "2"
"19377070" "5" "2"
"19377129" "5" "2"
"19377198" "4" "2"
"19377246" "4" "2"
"19377261" "4" "2"
"19377264" "4" "2"
"19377267" "4" "2"
"19377271" "4" "2"
"19377343" "2" "1"
"19377372" "2" "1"
"19377408" "2" "1"
"19377411" "2" "1"
"19377446" "3" "2"
"19377532" "6" "3"
"19377534" "6" "3"
"19377551" "6" "3"
"19377556" "6" "3"
"19377603" "6" "3"
"19377618" "6" "3"
"19377623" "6" "3"
"19377633" "6" "3"
"19377672" "6" "3"
"19377681" "6" "3"
"19377740" "6" "3"
"19377753" "6" "3"
"19377771" "6" "3"
"19377797" "6" "3"
"19377803" "6" "3"
"19377804" "6" "3"
"19377849" "6" "3"
"19377876" "6" "3"
"19377912" "5" "2"
"19377917" "5" "2"
"19377927" "5" "2"
"19377956" "2" "1"
"19377962" "2" "1"
"19377964" "2" "1"
"19378002" "2" "1"
"19378007" "2" "1"
"19378017" "2" "1"
"19378081" "2" "1"
"19378101" "2" "1"
"19378148" "2" "1"
"19378161" "2" "1"
"19378179" "5" "2"
"19378181" "5" "2"
"19378209" "5" "2"
"19378296" "5" "2"
"19378302" "5" "2"
"19378326" "5" "2"
"19378347" "5" "2"
"19378359" "7" "2"
"19378362" "7" "2"
"19378368" "7" "2"
"19378441" "7" "3"
"19378447" "14" "10"
"19378474" "15" "11"
"19378489" "15" "11"
"19378506" "35" "31"
"19378527" "35" "31"
"19378569" "35" "31"
"19378650" "35" "31"
"19378658" "35" "31"
"19378662" "35" "31"
"19378664" "35" "31"
"19378696" "35" "31"
"19378698" "35" "31"
"19378791" "35" "31"
"19378809" "34" "30"
"19378815" "34" "30"
"19378826" "34" "30"
"19378828" "34" "30"
"19378843" "33" "30"
"19378955" "12" "9"
"19378973" "8" "7"
"19379009" "3" "1"
"19379021" "3" "1"
"19379026" "3" "1"
"19379027" "3" "1"
"19379032" "3" "1"
"19379040" "3" "1"
"19379049" "3" "1"
"19379157" "3" "1"
"19379205" "3" "1"
"19379219" "3" "1"
"19379222" "3" "1"
"19379225" "3" "1"
"19379272" "3" "1"
"19379309" "3" "1"
"19379339" "3" "1"
"19379384" "3" "1"
"19379395" "3" "1"
"19379401" "3" "1"
"19379408" "3" "1"
"19379498" "2" "1"
"19379519" "2" "1"
"19379570" "2" "1"
"19379617" "2" "1"
"19379627" "2" "1"
"19379636" "2" "1"
"19379640" "2" "1"
"19379648" "2" "1"
"19379676" "2" "1"
"19379681" "3" "1"
"19379686" "3" "1"
"19379688" "3" "1"
"19379840" "3" "1"
"19379849" "3" "1"
"19379854" "3" "1"
"19379869" "3" "1"
"19379876" "3" "1"
"19379879" "3" "1"
"19379881" "3" "1"
"19379913" "3" "1"
"19379971" "4" "1"
"19379979" "4" "1"
"19379994" "4" "1"
"19379998" "4" "1"
"19380004" "4" "1"
"19380007" "4" "1"
"19380016" "4" "1"
"19380021" "4" "1"
"19380024" "4" "1"
"19380032" "4" "1"
"19380036" "4" "1"
"19380046" "4" "1"
"19380053" "4" "1"
"19380066" "6" "2"
"19380113" "6" "2"
"19380121" "6" "2"
"19380123" "6" "2"
"19380154" "6" "3"
"19380184" "7" "3"
"19380193" "8" "4"
"19380197" "8" "4"
"19380207" "8" "4"
"19380230" "8" "4"
"19380271" "8" "4"
"19380327" "8" "4"
"19381308" "7" "4"
"19381388" "7" "4"
"19381490" "5" "2"
"19381595" "5" "2"
"19381625" "5" "2"
"19381792" "5" "3"
"19382874" "5" "2"
"19382913" "5" "4"
"19383078" "6" "4"
"19383176" "6" "5"
"19383483" "6" "3"
"19383594" "5" "4"
"19383699" "5" "5"
"19388194" "4" "1"
"19388263" "4" "2"
"19388291" "5" "2"
"19388660" "4" "1"
"19388698" "4" "1"
"19388857" "6" "2"
"19389058" "5" "1"
"19389345" "2" "1"
"19389419" "4" "1"
"19389686" "4" "1"
"19389847" "2" "1"
"19389858" "2" "1"
"19389898" "2" "1"
"19393186" "2" "0"
"19394227" "2" NA
"19396921" "2" NA
"19398058" "2" NA
"19400482" "2" "1"
"19408876" "11" "9"
"19412496" "6" "5"
"19412686" "8" "8"
"19413058" "5" NA
"19413452" "5" "1"
"19413651" "7" "4"
"19413821" "7" "4"
"19413908" "7" "4"
"19413952" "7" "4"
"19414353" "4" NA
"19414416" "4" NA
"19414741" "3" NA
"19415181" "2" NA
"19415249" "2" NA
"19415400" "1" NA
"19415454" "1" NA
"19415605" "1" NA
"19415657" "1" NA
"19415912" "1" NA
"19416071" "1" NA
"19416266" "2" NA
"19416817" "2" NA
"19418505" "5" "2"
"19419695" "2" "5"
"19419860" "3" "6"
"19419888" "4" "7"
"19419949" "4" "8"
"19420154" "4" "10"
"19420851" "2" "5"
"19421279" "2" "3"
"19422938" "1" "5"
"19422990" "2" "4"
"19423060" "4" "5"
"19425327" "6" "2"
"19425418" "6" "2"
"19425843" "4" "2"
"19426041" "4" "2"
"19426573" "4" "2"
"19426728" "4" "2"
"19426729" "4" "2"
"19426792" "4" "2"
"19426860" "5" "2"
"19426907" "5" "2"
"19427329" "4" "2"
"19427564" "4" "2"
"19428255" "5" "5"
"19428341" "5" "6"
"19428414" "7" "7"
"19428562" "8" "10"
"19432586" "123" "118"
"19432672" "103" "104"
"19432695" "62" "70"
"19432817" "3" "10"
"19432822" "3" "10"
"19432934" "3" "9"
"19433017" "2" "8"
"19434898" "4" "3"
"19458211" "1" "3"
"19508352" "1" "3"
"19510515" "1" "5"
"19510622" "2" "5"
"19513210" "8" "10"
"19514844" "3" "4"
"19519429" "4" "5"
"19535593" "1" "1"
"19556536" "7" "8"
"19556539" "7" "8"
"19556581" "7" "8"
"19556593" "7" "8"
"19556663" "8" "7"
"19556785" "7" "3"
"19556792" "8" "3"
"19557557" "17" "15"
"19557627" "17" "15"
"19561348" "17" "20"
"19561425" "17" "20"
"19564596" "1" "1"
"19564696" "1" "1"
"19564733" "1" "1"
"19564879" "1" "1"
"19564931" "1" "1"
"19564980" "1" "1"
"19565042" "1" "1"
"19565203" "1" "1"
"19565632" "1" "1"
"19565812" "1" "1"
"19565839" "1" "2"
"19565929" "1" "2"
"19566109" "1" "2"
"19566281" "1" "1"
"19566426" "1" "1"
"19567988" "1" "1"
"19568050" "1" "1"
"19568178" "1" "1"
"19568228" "1" "1"
"19568261" "1" "1"
"19568525" "1" "1"
"19721717" "1" "1"
"19726855" "1" "1"
"19726859" "1" "1"
"22947737" "1" "1"
"22948097" "1" "1"
"22948098" "1" "1"
"22948329" "1" "1"
"22948801" "1" "1"
"22949363" "1" "1"
"22949727" "1" "1"
"24750443" "1" "1"
"24750447" "1" "1"
"3174095" "1" "2"
"5565035" "2" "2"
"1558125" "1" "1"
"16188128" "3" "3"
"10068330" "71" "84"
"10068334" "1" "1"
"10068337" "1" "1"
"11386092" "4" "4"
"17269596" "1" "1"
"17269597" "1" "1"
"4680102" "1" "1"
"10881639" "69" "69"
"11738001" "17" "15"
"16742935" "3" "2"
